CMD: for each repo: git clone --depth 1 https://github.com/<repo> /tmp/s2c/<slug> && git -C .. log -1 --format=%H && gh api repos/<repo> -q '[.stargazers_count,.license.spdx_id,.pushed_at,.forks_count]|@tsv' && head -2 LICENSE
AT_UTC: 2026-09-09T22:27:58Z
RC: 0 (per-repo rc in each row)
repo	rc	sha	stars	license	pushed_at	forks	LICENSEfile
anthropics/knowledge-work-plugins	rc=0	sha=34e1eae3e1cca0be18bc85067cc6dd78d1f5d4e5	23943	Apache-2.0	2026-09-09T07:33:58Z	2884	LICENSEfile=LICENSE:                                   Apache License 
anthropics/skills	rc=0	sha=41bbe19d1a1a7eaab5e7bb9050a417e5c6cffc8f	175422	null	2026-09-03T16:37:14Z	20768	LICENSEfile=없음: LICENSE 파일 없음
anthropics/claude-cookbooks	rc=0	sha=a97b9a2dc300635f0c26b5e05d0b54bbe0279ee5	52589	MIT	2026-09-03T22:18:29Z	6302	LICENSEfile=LICENSE: MIT License  
DaleSeo/korean-skills	rc=0	sha=ae12ba27982ebeff03b46dc738365aaa34260d9a	192	MIT	2026-05-05T02:06:17Z	15	LICENSEfile=LICENSE: MIT License  
amondnet/yoonmoon	rc=0	sha=24cf15385674d36c25c67fcfe8292b194e6613e6	13	MIT	2026-08-21T06:42:24Z	1	LICENSEfile=LICENSE: MIT License  
content-designer/ux-writing-skill	rc=0	sha=98cacde4ba2dd10ed28df43a8d53eef1e321c539	164	MIT	2026-05-26T23:23:35Z	17	LICENSEfile=LICENSE: MIT License  
rampstackco/claude-skills	rc=0	sha=a67dd34c609f034c0cfd736a348659bbdf1605bf	832	MIT	2026-09-07T20:19:21Z	117	LICENSEfile=LICENSE: MIT License  
composio-community/support-skills	rc=0	sha=83382c4b055fc4e5b055044adb5bfb7585484c9a	19	null	2026-04-21T18:18:53Z	2	LICENSEfile=없음: LICENSE 파일 없음
limleesol/stop-slop-ko	rc=0	sha=43313c9619d1152b110c19bf1ef9ef7341eff3b8	7	MIT	2026-07-30T04:17:48Z	0	LICENSEfile=LICENSE: MIT License  
NomaDamas/k-skill	rc=0	sha=944714350a6ed5138a0e81ef42b00771713766aa	7483	MIT	2026-09-08T09:51:39Z	909	LICENSEfile=LICENSE: MIT License  
JangHyun-bin/korean-report-skills	rc=0	sha=05ce76d04692d78b1d0e631aa410cfb912ccfee7	73	Apache-2.0	2026-09-04T16:13:29Z	10	LICENSEfile=LICENSE:                                  Apache License                            Version 2.0, January 2004 
roboco-io/plugins	rc=0	sha=1e2f83c808c28763aa85744979cc1a87b6675a26	21	MIT	2026-07-12T20:48:08Z	5	LICENSEfile=LICENSE: MIT License  
ShiYuPro/localize-naturally	rc=0	sha=be453d2b7eb256218fd12965f93b70c18f0be970	1	NOASSERTION	2026-09-09T08:28:14Z	0	LICENSEfile=LICENSE: MIT License  
entpnomad/tone-of-voice	rc=0	sha=a298a1486478b56cb433606765adc6d8fd6628e9	0	MIT	2026-08-11T22:08:41Z	0	LICENSEfile=LICENSE: MIT License  
0xelitesystem/claude-skills-templates	rc=0	sha=9be552c47b3f515fb9d637f6300a070f6bb03887	1	MIT	2026-08-19T07:26:04Z	0	LICENSEfile=LICENSE: MIT License  
errata-ai/vale	rc=0	sha=ed7117697bd9e8e0f8cd6b6217125878321ef17b	6094	MIT	2026-09-09T22:12:05Z	223	LICENSEfile=LICENSE: MIT License  
