CMD: for q in 'claude skills prd' 'claude code brainstorming skill' 'claude code spec workflow' 'prd skill' 'requirements elicitation skill' 'claude skill product requirements'; do echo "### $q"; gh search repos "$q" --sort stars --limit 15 --json fullName,stargazersCount,forksCount,pushedAt,license --jq '.[] | "\(.fullName)	★\(.stargazersCount)	forks=\(.forksCount)	pushed=\(.pushedAt)	lic=\(.license.key)"'; sleep 2; done
AT_UTC: 2026-09-09T09:35:08Z
RC: 0
### claude skills prd
rileytrottier23/Riley-PM-Skills	★0	forks=0	pushed=2026-09-02T04:21:42Z	lic=mit
annahsueh/prd-to-testcase	★0	forks=0	pushed=2026-09-01T10:07:26Z	lic=
### claude code brainstorming skill
avinashchby/claude-brainstorm-skill	★0	forks=0	pushed=2026-03-20T03:23:12Z	lic=
### claude code spec workflow
Pimzino/claude-code-spec-workflow	★3856	forks=279	pushed=2025-09-07T14:14:52Z	lic=mit
stanleykao72/claude-code-spec-workflow-odoo	★44	forks=16	pushed=2025-09-02T01:57:21Z	lic=mit
rerewang/awesome-context-engineering	★7	forks=6	pushed=2025-09-02T11:04:53Z	lic=mit
okaka-c/claude-code_spec-workflow_practice	★1	forks=0	pushed=2026-01-13T15:37:39Z	lic=
Navya-sree-yellina/claude-code-spec-workflow	★0	forks=0	pushed=2025-07-29T15:51:40Z	lic=mit
chandikaRT/claude-code-spec-workflow-odoo-jinasena	★0	forks=0	pushed=2026-02-16T11:02:34Z	lic=
niniliwei/retro-snake-game	★0	forks=0	pushed=2025-07-28T11:01:35Z	lic=mit
ph2684/argparse-cpp	★0	forks=0	pushed=2025-09-10T04:39:07Z	lic=
### prd skill
pmYangKun/create-prd-skill	★326	forks=32	pushed=2026-05-17T11:58:24Z	lic=
pmYangKun/check-prd-skill	★166	forks=24	pushed=2026-05-17T11:58:28Z	lic=
1killermouse/vibe-coding-prd-skill	★24	forks=0	pushed=2026-07-02T10:49:51Z	lic=
Ksssvd/vibe-coding-prd-skill	★23	forks=0	pushed=2026-07-02T10:34:43Z	lic=
supriatinkusmawanti71-sketch/vibe-coding-prd-skill	★22	forks=0	pushed=2026-07-02T10:38:34Z	lic=
LunaGeller/vibe-coding-prd	★21	forks=0	pushed=2026-07-02T11:00:42Z	lic=
xiaoyangqiqi7777777/vibe-coding-prd-skill	★20	forks=0	pushed=2026-07-02T12:20:45Z	lic=mit
z3247124509-sketch/vibe-coding-prd-skill	★19	forks=0	pushed=2026-07-02T10:33:23Z	lic=
liugaofeng703-maker/check-prd-skill	★18	forks=0	pushed=2026-04-07T02:44:20Z	lic=
996pm/interaction-prd	★17	forks=4	pushed=2026-09-03T02:36:04Z	lic=
dososo/BLCaptain-Opportunity-PRD-Skill	★16	forks=2	pushed=2026-06-20T03:53:58Z	lic=mit
zekovicjasmina660-cloud/vibe-coding-prd-skill	★16	forks=0	pushed=2026-07-02T13:34:14Z	lic=mit
LECoO21/idea-to-prd-skill	★15	forks=0	pushed=2026-08-27T09:41:23Z	lic=
liuzhaowei1/Digital--PRD-SKILL	★14	forks=3	pushed=2026-07-29T02:56:07Z	lic=mit
chaosinu7-svg/vibecoding-prd-skill	★13	forks=0	pushed=2026-07-02T12:44:02Z	lic=mit
### requirements elicitation skill
EchoAran/requirements-elicitation-skill	★0	forks=0	pushed=2026-04-17T07:24:55Z	lic=
EchoAran/requirements-elicitation-skill-simplify	★0	forks=0	pushed=2026-04-19T06:50:40Z	lic=
### claude skill product requirements
