CMD: gh api repos/<repo> --jq '[stars,license,pushed_at]' ; gh api repos/<repo>/contents/<path> --jq .sha   (부모 세션이 직접 재확인)
AT_UTC: 2026-09-09T22:14:32Z
RC: 행마다 아래 표기 (OK / MISSING / ERR)

name	repo	path	file_sha	license	stars	pushed_at	rc
ship-and-babysit	tinyhumansai/openhuman	.claude/commands/ship-and-babysit.md	9cd4a4fec1e1bb6e1744f87cf8b94b516ceabe5d	GPL-3.0	39578	2026-09-09	OK
babysit-pr-plugin	vaibhavmalik/babysit-pr	skills/babysit-pr/SKILL.md	4eb0e37d1c7d47b921066fb58d050f4ff042194e	MIT	1	2026-03-31	OK
babysit-pr-spectre	rock3r/spectre	.agents/skills/babysit-pr/SKILL.md	ab020ea323dd3311857433b1b7dac50ae4eb3ea1	Apache-2.0	33	2026-09-03	OK
babysit-pr-registry	majiayu000/claude-skill-registry	skills/integration/babysit-pr/SKILL.md	4e44563c7b9421e7c202b12b2dedec6550b43270	MIT	600	2026-09-09	OK
babysit-pr-ckorhonen	ckorhonen/claude-skills	skills/babysit-pr/SKILL.md	5c9fe12d0d27313ff3147cc09fd82fc1cba4c5e5	MIT	14	2026-07-05	OK
babysit-pr-duyet	duyet/codex-claude-plugins	github/commands/babysit-pr.md	07ff3cce5446560310c532e1c8d75a8c22db3ab7	none	14	2026-09-02	OK
babysit-pr-timoclsn	timoclsn/dotfiles	ai/skills/babysit-pr/SKILL.md	63caa63a031ed9e891792fd8a81242d816082b06	none	7	2026-09-09	OK
babysit-pr-mrquin	Mr-Quin/danmaku-anywhere	.claude/skills/babysit-pr/SKILL.md	30ed45170a0fc5dac35ea1af09ae160a5101b648	NOASSERTION	545	2026-09-07	OK
gh-babysit-pr	gautam-achieveai/ClaudePlugins	gh/commands/gh-babysit-pr.md	b19a4b68374068f206b03e99636d47553233084a	none	3	2026-09-02	OK
babysit-prs	flukelaster/SIAHRA	.claude/commands/babysit-prs.md	5bb6a10501cb5344943d0812d16e73be5c91dd07	MIT	28	2026-09-07	OK
review-fix	flukelaster/SIAHRA	.claude/commands/review-fix.md	7e32665b007702621fee8fe700ab7283316dba9e	MIT	28	2026-09-07	OK
pr-shepherd	dsifry/metaswarm	.claude/commands/pr-shepherd.md	df2a9993e87a5caa21e51419f38923b8f4b72fcb	MIT	413	2026-06-19	OK
handle-pr-comments	dsifry/metaswarm	.claude/commands/handle-pr-comments.md	4ad65bb6d9d532337f54a7fb308227b448a68727	MIT	413	2026-06-19	OK
babysit-pr-sonar	acolomba/pi-claude-marketplace	.claude/commands/babysit-pr.md	0275182b929685f48e431704f9837cd2be537608	MIT	23	2026-09-09	OK
copilot-loop	davidhouweling/guilty-spark	.claude/commands/copilot-loop.md	59d8a374f6d03811b6fc2dea52bfb055dc4edb7f	MIT	6	2026-09-09	OK
pr-green	SkyyRoseLLC/DevSkyy	.claude/commands/pr-green.md	8fe0c8097191c628a5c291d234f6161b01a6a958	none	3	2026-09-08	OK
monitor-pr	blooop/bencher	.claude/commands/monitor-pr.md	4e5f7a80c3a8a2ee8505fcdf51dedda67b3e56d4	MIT	4	2026-09-09	OK
fix-pr-deployhq	deployhq/claude-fix-pr	commands/fix-pr.md	9bcf313f2332a860253e2dd7c2e308b619fa3cef	MIT	0	2026-03-05	OK
fix-pr-rommbat	Spinnich/rommbat	.claude/commands/fix-pr.md	e89ebef80e1d17d58afdab46c951b55e3737cfac	GPL-3.0	0	2026-09-06	OK
fix-ci-relay	facebook/relay	.claude/commands/fix-ci.md	59e2a39d1862f3f275641337bcd9739d75187622	MIT	18962	2026-09-09	OK
resolve-pr-comments	frontops-dev/domino	.claude/commands/resolve-pr-comments.md	845d67ad255577d5004be77a332601b29db184a5	MIT	27	2026-08-07	OK
resolve-reviews	team-mirai/marumie	.claude/commands/resolve-reviews.md	1b99487063ca126efdb92aa2b0b381e7abe03563	NOASSERTION	697	2026-09-09	OK
address-review	shakacode/shakapacker	.claude/commands/address-review.md	b6beefd7d2ae4085da1e1f8cba55b35a225e046b	MIT	489	2026-09-09	OK
fix-pr-review-comments	deliveryhero/asya	.claude/commands/fix-pr-review-comments.md	f19bd828b21af81887be490110182a8ec492b5c4	Apache-2.0	58	2026-09-07	OK
pr-handle	scenario-labs/skills	.claude/commands/skills/pr-handle.md	035f2a0b3413f50c811cb829d367a3912a512c97	MIT	11	2026-09-03	OK
dyad-pr-fix-comments	ishandutta2007/Open-Laudable	.claude/commands/dyad/pr-fix/comments.md	092900579a34e54cce81314e6ff5f20e6446a709	NOASSERTION	48	2026-09-08	OK
address-pr-automated	Blink-Build-Studios/agentic-development-workflow	.claude/commands/address-pr-automated.md	0bebffa45e83c5fca9b724bca694343d73e3c55a	Unlicense	6	2026-08-07	OK
babysit-pr-recipe	kju4q/claude-code-loop-recipes	recipes/babysit-pr.md	45d82545f50533d11a10d46994faacd7974040e0	none	4	2026-06-29	OK
babysit-pr-fixer	anudeeps28/claude-code-harness	agents/babysit-pr-fixer.md	b5136f3a539bb692b73371c73b46deb55a3f14e2	MIT	10	2026-09-08	OK
gh-fix-ci	dzevs/zynk	.claude/commands/gh-fix-ci.md	0d2da6c05fae35b9629278349c2724dd19aebb54	NOASSERTION	3	2026-09-08	OK
